,carrier,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,other,paper pulp and print,textile and leather,transport equipment,wood and wood products
MA,electricity,2850221.6,496509.79,3384123.12,0.0,1651015.56,7406195.51,3676350.65,6028601.24,602201.85,806355.91,2093392.28,516761.61,86187.77
MA,gas,0.0,0.0,90149.5,0.0,0.0,755554.84,0.0,860608.21,0.0,522379.29,0.0,119703.15,0.0
MA,heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,oil,1868468.32,1140948.37,3770705.15,0.0,32936.83,10067851.53,2056248.16,35128032.42,689610.11,577456.86,1317847.0,142363.0,11416.84
MA,process emissions,6862863.68,0.0,0.0,53120.25,0.0,0.0,0.0,25623456.54,0.0,0.0,0.0,0.0,0.0
MA,ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,low-temperature heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA,methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,biomass,0.0,0.0,3306301.49,0.0,0.0,0.0,0.0,0.0,44236233.18,0.0,0.0,0.0,0.0
ZA,coal,32803615.27,0.0,531695.0,60288473.23,73613.48,7462934.56,71054421.09,19572098.67,89714420.45,2738976.91,0.0,0.0,0.0
ZA,electricity,19932673.08,364141.13,1318539.15,31743580.97,165645.32,71790632.14,37351495.37,5243131.0,70767574.26,2976248.15,390695.06,139434.48,793798.01
ZA,gas,32299649.13,0.0,1505784.88,4684793.66,577101.88,0.0,268064.17,8659999.84,1955618.4,577796.35,6944.67,355566.98,0.0
ZA,heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,oil,63836.95,43071.24,1498904.72,298129.75,330132.98,49140982.12,0.0,290306.58,4958997.22,145804.84,1326601.23,174213.8,299171.26
ZA,process emissions,21997493.99,0.0,0.0,211005.43,0.0,0.0,2688836.41,34020626.66,0.0,0.0,0.0,0.0,0.0
ZA,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZA,low-temperature heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
